file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker1,-43.8162109375,-53.56188231248122,3.8811693907260953,11.443148868500742
F2BJRLP1,0.0,25.309125,speaker1,-46.05365962070328,-45.95556541725441,3.826292561116206,8.11467744819954
F2BJRLP3,0.0,30.7068125,speaker1,-46.00268133344188,-46.8825415074022,3.716452463819298,10.329792916197029
F2BJRLP2,0.0,28.6474375,speaker1,-45.58444589877836,-45.790005201025856,3.591081407841954,7.889462534001883
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker1,-43.22635914800242,-52.365221170278694,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker1,-44.81214763208763,-50.90784454345703,2.533814193955675,12.358243745435463
